id,buyerName,lenderName,address,city,saleDate,saleValue,loanAmount
672,GHANI LLC,SHALLCROSS MORTGAGE COMPANY,2306 FAULKLAND RD,WILMINGTON,2024-09-24,132000,215000
673,HERRITAGE INVESTMENT PROPERTIES LLC,WORLDWIDE INVESTORS SOLUTIONS,3514 IRISH HILL RD,MAGNOLIA,2024-09-23,152500,221174
674,GELYN PROPERTIES,HAILSTONE JAMES,726 PINE CREEK LN,BEAR,2024-09-23,162000,172000
675,19808 RENOVATIONS LLC,EQUITY TRUST CO,12 JOHNSON AVE,SEAFORD,2024-09-23,98000,128000
676,MOST VALUABLE PROPERTIES LLC,WORLDWIDE INVESTORS SOLUTIONS,112 KING WILLIAM ST,NEWARK,2024-09-20,110000,130000
677,NYE FIVE PROPERTY LLC,NATIONAL LOAN FUNDING LLC,215 RIVER DR,MILLSBORO,2024-09-20,225000,227500
678,W2931 LLC,SHORE UNITED BANK NA,210 W 29TH ST,WILMINGTON,2024-09-19,250000,573750
679,W2931 LLC,SHORE UNITED BANK NA,114 W 31ST ST,WILMINGTON,2024-09-19,600000,573750
680,W2931 LLC,SHORE UNITED BANK NA,116 W 31ST ST,WILMINGTON,2024-09-19,600000,573750
681,W2931 LLC,SHORE UNITED BANK NA,118 W 31ST ST,WILMINGTON,2024-09-19,600000,573750
682,W2931 LLC,SHORE UNITED BANK NA,120 W 31ST ST,WILMINGTON,2024-09-19,600000,573750
683,W2931 LLC,SHORE UNITED BANK NA,122 W 31ST ST,WILMINGTON,2024-09-19,600000,573750
684,FIRST STATE SUPPLIES LLC,WILMINGTON SVG FUND SOCIETY F,1614 W 16TH ST,WILMINGTON,2024-09-18,700000,514500
685,FIRST STATE SUPPLIES LLC,WILMINGTON SVG FUND SOCIETY F,1616 W 16TH ST,WILMINGTON,2024-09-18,700000,514500
686,AEF REALTY LLC-SERIES C,IFP FUND I LLC,1510 W 14TH ST,WILMINGTON,2024-09-18,355000,337400
687,KIRKS REALTY LLC,ESSENCAP FUNDING LLC,35722 CUTTER CT,LEWES,2024-09-17,0,803120
688,PIZARRO FLOORING INSTALLATION LLC,SHALLCROSS MORTGAGE COMPANY,102 LOWER OAK ST,WILMINGTON,2024-09-16,60000,100000
689,63 HARBOR RD NORTH SHORES LLC,CITIBANK NA,63 HARBOR RD,REHOBOTH BEACH,2024-09-16,1765000,1185000
690,JAY-RO BUILDERS INC,PF 504 LLC,68 HARCOURT DR,DOVER,2024-09-13,314000,309925
691,RODRIGUEZ PROPERTY LLC,SHALLCROSS MORTGAGE COMPANY,211 W AYRE ST,WILMINGTON,2024-09-13,235000,200000
692,1999 PULASKI PROPERTY LLC,SHALLCROSS MORTGAGE COMPANY,211 W 30TH ST,WILMINGTON,2024-09-13,80000,160000
693,PROPERTIES 81 LLC,RCN CAPITAL LLC,2311 CARTER ST,WILMINGTON,2024-09-13,84000,100500
694,123A RH DELAWARE LLC,LOAN FUNDER LLC,937 CLIFFORD BROWN WALK,WILMINGTON,2024-09-13,105000,78750
695,K & M CONSTRUCTION LLC,SHALLCROSS MORTGAGE COMPANY,20 HARVEST LN,NEWARK,2024-09-13,355000,400000
696,ONE-PIE INVESTMENTS LLC,FULTON BANK NA,12 DAVIES RD,NEWARK,2024-09-13,210000,500000
697,CKM-4 LLC,SHORE UNITED BANK NA,29044 BEACH COVE SQ,BETHANY BEACH,2024-09-12,970000,727500
698,H & H FAMILY LLC,ZHANG DERRICK,179 MADISON DR,NEWARK,2024-09-11,186000,120000
699,LOPEZ & PARDO-ADAM G LLC,CROSSCOUNTRY MORTGAGE LLC,402 N ADAMS ST,WILMINGTON,2024-09-11,140000,112000
700,KERRIGAN CONSTRUCTION INC,DOVER FEDERAL CREDIT UNION,12 S LAYTON AVE,WYOMING,2024-09-10,200000,150000
701,MOLITOR CARPENTRY & CONTRACTING INC,MICHAEL C KREPS ELECTRICAL CON,14 CASSANDRA RD,NEWARK,2024-09-10,190000,268000
702,JWL REALTY INC,HOME TREATMENTS LLC,183 MCCORMICK BLVD,NEWARK,2024-09-09,310000,320000
703,DIV BEAR DE OWNER LLC,THE PROVIDENT BANK,710 AMERICAN BLVD,BEAR,2024-09-09,10200000,29600000
704,MONACO REAL ESTATE LLC,SPG CAPITAL FUND I LLC,102 RUTH ST,WILMINGTON,2024-09-06,125000,135000
705,BRICKHOUSE RENTALS LLC,LINKBANK,18469 BETHPAGE DR,LEWES,2024-09-06,480000,384000
706,ZAHRAREALTY LLC,DOUBLE BACKFLIP LLC,332 COBBLE CREEK CURV,NEWARK,2024-09-05,150000,144000
707,MKMH ASSOCIATES LIMITED LIABILITY COMPANY,NATIONAL LOAN FUNDING LLC,129 ROSIE DR,MIDDLETOWN,2024-09-05,0,198750
708,SCHATZ-MESSICK ENTERPRISES LLC,FULTON BANK NA,830 S DUPONT BLVD,MILFORD,2024-09-05,500000,375000
709,RUIZ CONSTRUCTION LLC,UNITED WHOLESALE MORTGAGE LLC,3408 CLAYTON AVE,WILMINGTON,2024-09-04,0,196500
710,BROADKILL VENTURES LLC,PARIKH ANUSH,54 BRYAN DR,REHOBOTH BEACH,2024-09-04,159990,160000
711,G-LO PROPERTIES LLC,RCN CAPITAL LLC,843 N SPRUCE ST,WILMINGTON,2024-09-03,95000,101250
712,K & M CONSTRUCTION LLC,SHALLCROSS MORTGAGE COMPANY,2475 W DENNEYS RD,DOVER,2024-08-30,250000,310000
713,GUZMAN CONSTRUCTION LLC,SHALLCROSS MORTGAGE COMPANY,304 TREETOP CIR,BEAR,2024-08-30,405000,450000
714,2 GOOMBAHS LLC,BRRRR FUNDER LLC,813 WINDSOR ST,WILMINGTON,2024-08-30,95000,102510
715,2 GOOMBAHS LLC,BRRRR FUNDER LLC,803 W 6TH ST,WILMINGTON,2024-08-30,95000,102935
716,CRUCIAN ENTERPRISES INC,GREEN ROSE CAPITAL LLC,1311 VANDEVER AVE,WILMINGTON,2024-08-30,150000,120000
717,2 GOOMBAHS LLC,BRRRR FUNDER LLC,1327 VANDEVER AVE,WILMINGTON,2024-08-30,90000,103117
718,UPPER ROOM GROUP LLC,HOME TREATMENTS LLC,54 BETTS AVE,NEW CASTLE,2024-08-30,163000,205400
719,PG & SONS PROPERTIES LLC,SHALLCROSS MORTGAGE COMPANY,152 KILLORAN DR,NEW CASTLE,2024-08-30,135000,200000
720,DYNAMIC PROPERTY SOLUTIONS LIMITED LIABILITY,EQUITY TRUST CO,20738 FLEATOWN RD,LINCOLN,2024-08-30,175000,150000
721,MJ PROPERTY MANAGMENT LLC,RONAN SUSAN,616 MELROSE AVE,WILMINGTON,2024-08-29,140000,139000
722,BENGOL REAL ESTATES GROUP LLC,SHALLCROSS MORTGAGE COMPANY,15 PAYNTER DR,WILMINGTON,2024-08-29,0,110000
723,J STEVENS CONSTRUCTION INC,SANDLER STANLEY,219 MERCURY RD,NEWARK,2024-08-29,0,490000
724,ROSE PROPERTY MANAGEMENT LLC,SPG CAPITAL FUND I LLC,115 DENN PL,WILMINGTON,2024-08-29,145000,200000
725,VICTORINO LLC,TVC FUNDING I LLC,32 MALVERN RD,NEWARK,2024-08-29,240000,265439
726,SHORE MECHANICAL SERVICES INC,COUNTY BANK,,MILTON,2024-08-29,314000,235500
727,SHORE MECHANICAL SERVICES INC,COUNTY BANK,,MILTON,2024-08-29,314000,235500
728,BROADKILL VENTURES LLC,STONE MICHAEL,232 LONG NECK CIR,MILLSBORO,2024-08-28,104990,105000
729,BIGG JIMS HOMES LLC,DOMINION FIN'L SERVICES LLC,813 HUSTON ST,SEAFORD,2024-08-27,160000,179500
730,SPRE LLC,LARRYS LATE NIGHT LENDING LLC,533 N CLAYTON ST,WILMINGTON,2024-08-26,83000,141000
731,26 COASTAL COTTAGE LLC,THE FARMERS BANK,101 ATLANTIC AVE,OCEAN VIEW,2024-08-26,1050000,840000
732,MEIKLE-WANG INVESTMENTS LLC,THE FARMERS BANK,91 ATLANTIC AVE,OCEAN VIEW,2024-08-26,475000,380000
733,26 COASTAL COTTAGE LLC,THE FARMERS BANK,95 ATLANTIC AVE,OCEAN VIEW,2024-08-26,1050000,840000
734,BENGOL REAL ESTATE GROUP LLC,SHALLCROSS MORTGAGE COMPANY,33 BENNING RD,CLAYMONT,2024-08-23,290500,310000
735,UPPER ROOM GROUP LLC,WAGMAN GREGORY,622 DELAWARE AVE,CLAYMONT,2024-08-23,185000,240000
736,WILMDE LLC-SERIES 514 CENTERVILLE,LENDINGONE LLC,514 CENTERVILLE RD,WILMINGTON,2024-08-23,0,229500
737,UPPER ROOM GROUP LLC,ANCHOR LOANS LP,710 NEW LONDON RD,NEWARK,2024-08-23,150000,157500
738,PARK PLACE ENTERPRISES LLC,STONE BAY HOLDINGS II LLC,127 BOSS BROWN LN,CAMDEN WYOMING,2024-08-22,135000,207000
739,SEPA INVEST LLC,STONE BAY HOLDINGS II LLC,1022 LINDEN ST,WILMINGTON,2024-08-22,0,100000
740,NGUYEN PROPERTIES ENT LLC,ANCHOR LOANS LP,202 MAY AVE,NEW CASTLE,2024-08-22,160000,205190
741,VRD AT DOVER LLC,CENTENNIAL BANK,1258 S BAY RD,DOVER,2024-08-21,375000,3974471
742,PG & SONS PROPERTIES LLC,RCN CAPITAL LLC,2217 N PINE ST,WILMINGTON,2024-08-21,55700,112195
743,ULTIMATE FIRE PROTECTION LLC,TRUE ACCESS CAPITAL CORP,1626 THATCHER ST,WILMINGTON,2024-08-21,0,160000
744,PAM MARK PROPERTIES LLC,HAILSTONE JAMES,23 HOLDEN DR,NEW CASTLE,2024-08-21,0,200000
745,BIGG JIMS HOMES LLC,CAMA SDIRA LLC,30348 FIRE TOWER RD,LAUREL,2024-08-21,95000,195000
746,PINNACLE REALTY INVESTMENTS LLC,DEEPHAVEN MORTGAGE LLC,33506 BELVEDERE ST,MILLVILLE,2024-08-21,385000,288750
747,BIGG JIMS HOMES LLC,DOMINION FIN'L SERVICES LLC,34515 MAPLE DR,LEWES,2024-08-21,300000,346500
748,ZAHRAREALTY LLC,DOUBLE BACKFLIP LLC,562 ASHLAND AVE,CAMDEN WYOMING,2024-08-20,335000,302000
749,COASTAL HOLDINGS LLC,RESIDENTIAL CAPITAL PARTNERS S,28870 ONEALS RD,SEAFORD,2024-08-20,150000,185570
750,HAM & CHEESE LLC,WORLDWIDE INVESTORS SOLUTIONS,107 E 24TH ST,WILMINGTON,2024-08-16,75000,130000
751,AFTA AFEXX REALTY LLC,SHALLCROSS MORTGAGE COMPANY,1718 W 6TH ST,WILMINGTON,2024-08-16,0,198000
752,NOVA INDUSTRIES LLC,SHALLCROSS MORTGAGE COMPANY,109 WILTSHIRE RD,CLAYMONT,2024-08-16,0,185000
753,J W L REALTY INC,HOME TREATMENTS LLC,28 VANSANT RD,NEWARK,2024-08-15,0,295000
754,SEPA INVEST LLC,EDWARD B WAGMAN MONARCH IRREVO,1307 W 5TH ST,WILMINGTON,2024-08-14,0,140000
755,HAM & CHEESE LLC,WORLDWIDE INVESTORS SOLUTIONS,1 E 24TH ST,WILMINGTON,2024-08-14,0,120000
756,WOODLINPROPERTYMANAGEMENT LLC,HARVEST SMALL BUSN FINANCE LLC,207 RUTH DR,MIDDLETOWN,2024-08-13,0,1190000
757,PROPERTIES 81 LLC,RCN CAPITAL LLC,2304 JESSUP ST,WILMINGTON,2024-08-12,0,101500
