id,buyerName,lenderName,address,city,saleDate,saleValue,loanAmount
830,ORANGE OWL LLC,SILVER HILL FUNDING LLC,506 STEWARTON CT,NEWARK,2024-07-15,0,138200
831,JRO LLC,MCKINLEY C,1369 LONGRIDGE RD,CLAYTON,2024-07-12,103500,110000
832,FIRST STATE REAL ESTATE INVESTMENT LLC,BYLER INVESTMENTS LLC,928 BAY RD,MILFORD,2024-07-12,245000,252414
833,FIRST STATE REAL ESTATE INVESTMENT LLC,BYLER INVESTMENTS LLC,16 S NEW ST,DOVER,2024-07-12,245000,252414
834,ONE-PIE INVESTMENTS LLC,PRE HOLDING RESIDENTIAL LLC,2714 SPEAKMAN PL,WILMINGTON,2024-07-12,0,150000
835,MAIN AND MACKALL LLC,DOUBLE BACKFLIP LLC,2205 CARTER ST,WILMINGTON,2024-07-12,0,157073
836,E DEED INVESTMENTS LLC,OAKTREE FUNDING CORP,301 JACKSON AVE,WILMINGTON,2024-07-12,559900,419925
837,E DEED INVESTMENTS LLC,OAKTREE FUNDING CORP,301 JACKSON AVE,WILMINGTON,2024-07-12,559900,419925
838,M & P PROPERTY GROUP LLC,MANUFACTURERS & TRADERS TR CO/,14490 DEER FOREST RD,BRIDGEVILLE,2024-07-12,575000,460000
839,NAS HOMES LLC,CINNAIRE LENDING CORPORATION,2413 N WASHINGTON ST,WILMINGTON,2024-07-10,115000,750000
840,GOMEZ INVESTMENT PROPERTIES LLC,SHALLCROSS MORTGAGE COMPANY,211 W AYRE ST,WILMINGTON,2024-07-09,105000,160000
841,YESOD PROPERTIES LLC,SHALLCROSS MORTGAGE COMPANY,931 CLIFFORD BROWN WALK,WILMINGTON,2024-07-09,0,120000
842,DLS2 PROPERTIES LLC,RCN CAPITAL LLC,514 SPARROW CT,NEWARK,2024-07-09,180000,179175
843,JAY-RO BUILDERS INC,PF 504 LLC,79 MCGINNIS POND RD,FELTON,2024-07-08,170500,303200
844,HANCOCK PROPERTIES LLC,RRR GROUP INC,18 ANNA AVE,BEAR,2024-07-08,325000,370000
845,HAM & CHEESE LLC,WORLDWIDE INVESTORS SOLUTIONS,611 E 22ND ST,WILMINGTON,2024-07-05,38500,105000
846,HMP MANAGEMENT LLC,LENDSURE MORTGAGE CORP,1135 LANCASTER AVE,WILMINGTON,2024-07-05,0,127500
847,MONACO REAL ESTATE LLC,SPG CAPITAL FUND I LLC,608 WINDSOR AVE,WILMINGTON,2024-07-03,0,210000
848,CEDAR RUN APARTMENTS LLC,PAS MORTGAGE INC,24247 OLD MEADOW RD,SEAFORD,2024-07-03,195000,250000
849,CS RENOVATION LLC,YANG KATHY,109 NEW YORK AVE,CLAYMONT,2024-07-02,166000,162800
